,ID,State,Subscription_End_Date,Expiring_Dollars,Expiring_Students,Renewal_Date,Metro_Code,Apple_Mac_Code,PC_Code,Poverty_Level_Code,Avg_Household_Income,Title_1_Code,Software_budget_per_head,Training_Budget_Per_head,Lunch_Program_Eligible_Students,Affluence_Indicator,Avg_Sell_price,Renew_delay,Days_group
ID,1.0,-0.0927693827764,-0.00945131708218,0.0532317627798,0.0535048120591,0.00145703666654,0.242704104753,0.22027529935,0.117405579865,0.183759953994,0.329481491035,0.167532107135,0.0674090565283,0.149919864781,0.33871311408,0.364832454525,-0.00318557760106,-0.0184918775662,-0.0238214660133
State,-0.0927693827764,1.0,-0.0167774531294,-0.123817400329,-0.121230676734,-0.020929836722,-0.0527154004226,-0.0556341065096,-0.0453223293733,-0.0300918635104,-0.0396393753437,-0.0347226951789,0.0706012693276,0.0388266685315,-0.0832993135544,0.00623560518665,-0.019886120585,0.0171896783605,0.00101135786688
Subscription_End_Date,-0.00945131708218,-0.0167774531294,1.0,0.142302201642,-0.0389178328767,0.777015351086,-0.0174773195206,0.0016985094337,-0.00194752750418,0.00938727392039,0.0176290748354,0.00408093205077,0.013217706715,0.00830981875075,-0.0195227265129,0.00466056685354,0.916941560463,-0.211710178446,-0.179514993973
Expiring_Dollars,0.0532317627798,-0.123817400329,0.142302201642,1.0,0.974872978944,0.126831903956,0.133683964933,-0.073851948241,0.0273926987099,-0.0959732216613,0.0363895473325,-0.134335660676,-0.133604556962,-0.153573117547,0.326206272878,0.0346770720316,0.162099197525,-0.0196343538072,0.00614781137654
Expiring_Students,0.0535048120591,-0.121230676734,-0.0389178328767,0.974872978944,1.0,-0.0107212554188,0.138515252855,-0.0736883307485,0.0289578789351,-0.0979125415117,0.0329450300879,-0.13565436958,-0.136006900944,-0.155258004537,0.335790507352,0.0351452347453,-0.0371037498529,0.028213324277,0.0447733450318
Renewal_Date,0.00145703666654,-0.020929836722,0.777015351086,0.126831903956,-0.0107212554188,1.0,-0.0357371292474,-0.0158785863862,-0.023719579671,0.004903057827,0.0117188937777,-0.00702740140262,0.017092794867,0.0158819563836,-0.0471081433514,0.00229561813194,0.70263360364,-0.141738341558,-0.55610287785
Metro_Code,0.242704104753,-0.0527154004226,-0.0174773195206,0.133683964933,0.138515252855,-0.0357371292474,1.0,0.409923273717,0.525717581485,0.451964290947,0.271996836517,0.438603376237,0.354409225502,0.376673726554,0.559801633856,0.343417236986,-0.0197148258718,0.0440234543329,0.059102673362
Apple_Mac_Code,0.22027529935,-0.0556341065096,0.0016985094337,-0.073851948241,-0.0736883307485,-0.0158785863862,0.409923273717,1.0,0.654927271691,0.61544659975,0.308051967111,0.623797876784,0.539855932208,0.604574985086,0.268573588088,0.306305430833,0.00142292247759,0.0115339860229,-0.00928989323623
PC_Code,0.117405579865,-0.0453223293733,-0.00194752750418,0.0273926987099,0.0289578789351,-0.023719579671,0.525717581485,0.654927271691,1.0,0.72068674242,0.298376152113,0.712551562116,0.667508114163,0.697776738431,0.36917178949,0.304755485472,-0.0050728196086,0.039271000011,0.0316687143007
Poverty_Level_Code,0.183759953994,-0.0300918635104,0.00938727392039,-0.0959732216613,-0.0979125415117,0.004903057827,0.451964290947,0.61544659975,0.72068674242,1.0,0.0990628246114,0.915652909088,0.666598221609,0.725698543234,0.377960284995,0.269869851222,0.00382579835979,0.0239093881102,-0.0210055042308
Avg_Household_Income,0.329481491035,-0.0396393753437,0.0176290748354,0.0363895473325,0.0329450300879,0.0117188937777,0.271996836517,0.308051967111,0.298376152113,0.0990628246114,1.0,0.12307319123,0.270068452477,0.307886900819,0.365907395754,0.722364297505,0.0226472760241,-0.0295138142895,-0.0242955054679
Title_1_Code,0.167532107135,-0.0347226951789,0.00408093205077,-0.134335660676,-0.13565436958,-0.00702740140262,0.438603376237,0.623797876784,0.712551562116,0.915652909088,0.12307319123,1.0,0.669442329157,0.723069193713,0.35159080432,0.324934209653,0.00288787034164,0.0177152745883,-0.0156368986146
Software_budget_per_head,0.0674090565283,0.0706012693276,0.013217706715,-0.133604556962,-0.136006900944,0.017092794867,0.354409225502,0.539855932208,0.667508114163,0.666598221609,0.270068452477,0.669442329157,1.0,0.90485298487,0.247092780736,0.264160472341,0.010426185356,0.0197306012914,-0.0402701837438
Training_Budget_Per_head,0.149919864781,0.0388266685315,0.00830981875075,-0.153573117547,-0.155258004537,0.0158819563836,0.376673726554,0.604574985086,0.697776738431,0.725698543234,0.307886900819,0.723069193713,0.90485298487,1.0,0.266526866565,0.306064338389,0.00541063235846,0.0164115126667,-0.052970395526
Lunch_Program_Eligible_Students,0.33871311408,-0.0832993135544,-0.0195227265129,0.326206272878,0.335790507352,-0.0471081433514,0.559801633856,0.268573588088,0.36917178949,0.377960284995,0.365907395754,0.35159080432,0.247092780736,0.266526866565,1.0,0.48581644043,-0.0199533554682,0.0607438583019,0.0982707808212
Affluence_Indicator,0.364832454525,0.00623560518665,0.00466056685354,0.0346770720316,0.0351452347453,0.00229561813194,0.343417236986,0.306305430833,0.304755485472,0.269869851222,0.722364297505,0.324934209653,0.264160472341,0.306064338389,0.48581644043,1.0,-3.42929285858e-05,0.00353072227735,-0.00631217417964
Avg_Sell_price,-0.00318557760106,-0.019886120585,0.916941560463,0.162099197525,-0.0371037498529,0.70263360364,-0.0197148258718,0.00142292247759,-0.0050728196086,0.00382579835979,0.0226472760241,0.00288787034164,0.010426185356,0.00541063235846,-0.0199533554682,-3.42929285858e-05,1.0,-0.235379766469,-0.191577576091
Renew_delay,-0.0184918775662,0.0171896783605,-0.211710178446,-0.0196343538072,0.028213324277,-0.141738341558,0.0440234543329,0.0115339860229,0.039271000011,0.0239093881102,-0.0295138142895,0.0177152745883,0.0197306012914,0.0164115126667,0.0607438583019,0.00353072227735,-0.235379766469,1.0,0.337077189714
