Subscription_Status,Metro_Code,Avg_Household_Income,Expiring_Dollars
Not Renewed,R,A,30240
Not Renewed,R,B,55344
Not Renewed,R,C,51115
Not Renewed,R,D,43332
Not Renewed,R,E,30840
Not Renewed,R,F,31005
Not Renewed,R,G,48291
Not Renewed,R,H,39978
Not Renewed,R,I,64136
Not Renewed,R,J,85222
Not Renewed,R,K,48963
Not Renewed,R,L,76980
Not Renewed,R,M,16914
Not Renewed,R,N,28890
Not Renewed,R,O,45924
Not Renewed,R,P,21823
Not Renewed,R,Q,8040
Not Renewed,R,Z,32674
Not Renewed,S,A,66077
Not Renewed,S,B,60324
Not Renewed,S,C,58087
Not Renewed,S,D,65582
Not Renewed,S,E,29520
Not Renewed,S,F,42367
Not Renewed,S,G,62812
Not Renewed,S,H,97652
Not Renewed,S,I,106846
Not Renewed,S,J,128243
Not Renewed,S,K,66029
Not Renewed,S,L,155213
Not Renewed,S,M,92073
Not Renewed,S,N,142091
Not Renewed,S,O,139983
Not Renewed,S,P,128911
Not Renewed,S,Q,100032
Not Renewed,S,Z,7390
Not Renewed,T,A,3000
Not Renewed,T,B,57834
Not Renewed,T,C,69004
Not Renewed,T,D,26410
Not Renewed,T,E,23411
Not Renewed,T,F,43699
Not Renewed,T,G,56802
Not Renewed,T,H,34699
Not Renewed,T,I,53667
Not Renewed,T,J,67318
Not Renewed,T,K,40410
Not Renewed,T,L,50523
Not Renewed,T,M,19090
Not Renewed,T,N,13760
Not Renewed,T,O,23504
Not Renewed,T,Q,2880
Not Renewed,T,Z,13082
Not Renewed,U,A,177483
Not Renewed,U,B,146796
Not Renewed,U,C,164217
Not Renewed,U,D,50158
Not Renewed,U,E,84696
Not Renewed,U,F,146332
Not Renewed,U,G,128732
Not Renewed,U,H,109027
Not Renewed,U,I,89258
Not Renewed,U,J,118939
Not Renewed,U,K,47100
Not Renewed,U,L,82883
Not Renewed,U,M,119521
Not Renewed,U,N,46904
Not Renewed,U,O,77191
Not Renewed,U,P,32977
Not Renewed,U,Q,62482
Not Renewed,U,Z,2610
Renewed,R,A,291815
Renewed,R,B,500175
Renewed,R,C,816634
Renewed,R,D,578544
Renewed,R,E,629047
Renewed,R,F,807065
Renewed,R,G,840374
Renewed,R,H,841965
Renewed,R,I,1267751
Renewed,R,J,1377882
Renewed,R,K,879363
Renewed,R,L,1187274
Renewed,R,M,775402
Renewed,R,N,540803
Renewed,R,O,532483
Renewed,R,P,248838
Renewed,R,Q,119693
Renewed,R,Z,484221
Renewed,S,A,157498
Renewed,S,B,181813
Renewed,S,C,527113
Renewed,S,D,171639
Renewed,S,E,398885
Renewed,S,F,406150
Renewed,S,G,618099
Renewed,S,H,771524
Renewed,S,I,981193
Renewed,S,J,1174941
Renewed,S,K,866891
Renewed,S,L,1809205
Renewed,S,M,1329212
Renewed,S,N,1308013
Renewed,S,O,1915788
Renewed,S,P,1577297
Renewed,S,Q,1333743
Renewed,S,Z,135591
Renewed,T,A,219228
Renewed,T,B,639363
Renewed,T,C,569635
Renewed,T,D,490554
Renewed,T,E,661983
Renewed,T,F,599474
Renewed,T,G,666308
Renewed,T,H,743817
Renewed,T,I,1103240
Renewed,T,J,1160847
Renewed,T,K,476711
Renewed,T,L,639462
Renewed,T,M,351937
Renewed,T,N,205705
Renewed,T,O,193304
Renewed,T,P,79895
Renewed,T,Q,22832
Renewed,T,Z,238769
Renewed,U,A,916100
Renewed,U,B,1105125
Renewed,U,C,1020458
Renewed,U,D,536481
Renewed,U,E,873146
Renewed,U,F,560463
Renewed,U,G,683867
Renewed,U,H,831845
Renewed,U,I,1027625
Renewed,U,J,1160949
Renewed,U,K,686714
Renewed,U,L,1190097
Renewed,U,M,906106
Renewed,U,N,589024
Renewed,U,O,777994
Renewed,U,P,541063
Renewed,U,Q,552140
Renewed,U,Z,114394
