,ID,State,Subscription_End_Date,Expiring_Dollars,Expiring_Students,Renewal_Date,Metro_Code,Apple_Mac_Code,PC_Code,Poverty_Level_Code,Avg_Household_Income,Title_1_Code,Software_budget_per_head,Training_Budget_Per_head,Lunch_Program_Eligible_Students,Affluence_Indicator,Avg_Sell_price,Renew_delay,Days_group,Subscription_Status
3,97563,Virginia,2017-01-31,2100,300,ZZ,U,I,H,C,G,B,G,E,201.0,4.0,7.0,999,11.0,Not Renewed
12,126024,North Carolina,2017-01-31,3850,550,ZZ,T,E,H,D,F,C,G,D,372.0,2.0,7.0,999,11.0,Renewed
17,196014,Florida,2017-01-31,4305,615,ZZ,U,J,J,C,F,C,G,E,577.0,1.0,7.0,999,11.0,Renewed
36,281202,Kentucky,2017-01-31,2485,355,ZZ,R,K,F,C,J,B,E,C,200.0,4.0,7.0,999,11.0,Renewed
43,378447,Michigan,2017-01-31,2100,300,ZZ,S,E,F,B,M,A,G,C,195.0,2.0,7.0,999,11.0,Renewed
45,406524,Michigan,2017-01-31,2380,340,ZZ,T,A,G,C,I,B,Z,Z,242.0,1.0,7.0,999,11.0,Renewed
48,460797,Wisconsin,2017-01-31,1680,240,ZZ,R,A,H,D,C,D,E,B,121.0,3.0,7.0,999,11.0,Renewed
58,554880,Illinois,2017-01-31,1680,240,ZZ,T,B,F,C,H,B,Z,Z,133.0,1.0,7.0,999,11.0,Renewed
59,611847,Nebraska,2017-01-31,1869,267,ZZ,T,B,F,C,I,B,Z,Z,166.0,3.0,7.0,999,11.0,Renewed
65,655848,Oklahoma,2017-01-31,1680,240,ZZ,T,A,E,C,F,B,E,C,147.0,1.0,7.0,999,11.0,Renewed
94,847743,California,2017-01-31,2275,325,ZZ,S,F,F,B,M,A,E,C,293.0,2.0,7.0,999,11.0,Renewed
97,878361,Oregon,2017-01-31,2800,400,ZZ,T,D,D,C,H,B,E,C,0.0,1.0,7.0,999,11.0,Renewed
