,ID,State,Subscription_End_Date,Expiring_Dollars,Expiring_Students,Subscription_Status,Renewal_Date,Metro_Code,Apple_Mac_Code,PC_Code,Poverty_Level_Code,Avg_Household_Income,Title_1_Code,Software_budget_per_head,Training_Budget_Per_head,Lunch_Program_Eligible_Students,Affluence_Indicator,Avg_Sell_price,Renew_delay,Days_group
1,34635,Maine,2015-01-31,1440,240,Renewed,2014-12-22,S,F,E,B,E,A,G,D,41.0,2.0,6.0,-40.0,3.0
2,45081,New Jersey,2015-01-31,3420,570,Renewed,2014-09-25,S,C,E,B,N,B,F,C,259.0,4.0,6.0,-128.0,2.0
3,62451,New York,2015-01-31,1440,240,Renewed,2014-08-19,S,G,H,A,P,A,H,H,75.0,4.0,6.0,-165.0,1.0
4,31239,New Hampshire,2015-01-31,2010,335,Renewed,2012-11-16,U,H,E,C,J,C,Z,Z,331.0,3.0,6.0,-806.0,11.0
5,49248,New Jersey,2015-01-31,1440,240,Renewed,2014-11-18,T,D,C,C,I,C,G,D,42.0,3.0,6.0,-74.0,3.0
6,54282,New York,2015-01-31,1440,240,Renewed,2015-02-05,U,J,J,C,N,D,G,H,244.0,5.0,6.0,5.0,5.0
7,22908,Massachusetts,2015-01-31,1440,240,Renewed,2014-11-03,S,ZZ,ZZ,ZZ,I,ZZ,ZZ,ZZ,0.0,3.0,6.0,-89.0,3.0
8,37650,Vermont,2015-01-31,1440,240,Renewed,2014-11-19,R,C,G,D,F,D,Z,Z,89.0,4.0,6.0,-73.0,3.0
10,71985,Pennsylvania,2015-01-31,2850,475,Renewed,2014-12-08,S,F,E,A,P,A,C,A,59.0,4.0,6.0,-54.0,3.0
11,74343,Pennsylvania,2015-01-31,1440,240,Renewed,2015-01-16,S,ZZ,ZZ,ZZ,P,ZZ,ZZ,ZZ,0.0,5.0,6.0,-15.0,4.0
12,75771,Pennsylvania,2015-01-31,1440,240,Renewed,2015-01-29,T,F,G,B,J,C,C,A,200.0,5.0,6.0,-2.0,4.0
14,76242,Pennsylvania,2015-01-31,1440,240,Renewed,2015-01-13,U,ZZ,ZZ,ZZ,G,ZZ,ZZ,ZZ,0.0,2.0,6.0,-18.0,4.0
15,76425,Pennsylvania,2015-01-31,1440,240,Renewed,2014-11-11,T,ZZ,ZZ,ZZ,K,ZZ,ZZ,ZZ,0.0,2.0,6.0,-81.0,3.0
16,77238,Pennsylvania,2015-01-31,1440,240,Renewed,2014-11-24,S,E,G,B,N,A,C,A,84.0,3.0,6.0,-68.0,3.0
17,97563,Virginia,2015-01-31,1740,290,Renewed,2015-01-20,U,I,H,C,G,B,G,E,201.0,4.0,6.0,-11.0,4.0
18,100296,West Virginia,2015-01-31,1440,240,Renewed,2015-01-13,R,C,H,C,A,C,G,D,0.0,2.0,6.0,-18.0,4.0
19,100308,West Virginia,2015-01-31,1692,282,Renewed,2015-01-13,R,C,H,C,A,C,G,D,0.0,2.0,6.0,-18.0,4.0
20,100338,West Virginia,2015-01-31,1692,282,Renewed,2015-01-13,T,C,H,C,D,C,G,D,0.0,3.0,6.0,-18.0,4.0
21,101856,West Virginia,2015-01-31,1692,282,Renewed,2015-01-13,R,C,H,C,D,C,G,D,0.0,3.0,6.0,-18.0,4.0
22,100302,West Virginia,2015-01-31,1440,240,Renewed,2015-01-13,R,C,H,C,C,C,G,D,0.0,3.0,6.0,-18.0,4.0
23,100335,West Virginia,2015-01-31,1692,282,Renewed,2015-01-13,T,C,H,C,D,C,G,D,0.0,3.0,6.0,-18.0,4.0
24,100203,West Virginia,2015-01-31,1746,291,Renewed,2015-01-13,R,C,H,C,Z,C,G,D,0.0,3.0,6.0,-18.0,4.0
25,101766,West Virginia,2015-01-31,1692,282,Renewed,2015-01-13,R,C,H,C,C,C,G,D,0.0,3.0,6.0,-18.0,4.0
26,101874,West Virginia,2015-01-31,1692,282,Renewed,2015-01-13,R,C,H,C,D,C,G,D,0.0,3.0,6.0,-18.0,4.0
28,110748,North Carolina,2015-01-31,2250,375,Renewed,2014-09-19,U,F,H,C,I,C,G,E,376.0,3.0,6.0,-134.0,2.0
29,110772,North Carolina,2015-01-31,1440,240,Renewed,2014-10-21,R,E,H,D,F,D,G,D,169.0,3.0,6.0,-102.0,2.0
30,111804,North Carolina,2015-01-31,3600,600,Renewed,2014-10-28,U,ZZ,ZZ,ZZ,L,ZZ,ZZ,ZZ,0.0,3.0,6.0,-95.0,2.0
31,113211,North Carolina,2015-01-31,1440,240,Renewed,2014-10-29,U,ZZ,ZZ,ZZ,D,ZZ,ZZ,ZZ,0.0,1.0,6.0,-94.0,2.0
32,110709,North Carolina,2015-01-31,3750,625,Renewed,2015-03-06,U,F,H,C,I,C,G,E,575.0,3.0,6.0,34.0,6.0
33,110553,North Carolina,2015-01-31,5340,890,Renewed,2015-03-18,U,F,H,C,E,C,G,E,557.0,2.0,6.0,46.0,6.0
34,113763,North Carolina,2015-01-31,6300,1050,Renewed,2014-09-30,R,F,H,C,G,C,G,E,507.0,3.0,6.0,-123.0,2.0
35,114450,North Carolina,2015-01-31,5100,850,Renewed,2015-01-13,R,F,H,C,L,C,G,E,382.0,5.0,6.0,-18.0,4.0
36,110721,North Carolina,2015-01-31,2400,400,Renewed,2015-01-28,U,F,H,C,I,C,G,E,356.0,3.0,6.0,-3.0,4.0
37,114360,North Carolina,2015-01-31,3150,525,Renewed,2014-08-06,U,E,H,C,H,C,G,D,428.0,4.0,6.0,-178.0,1.0
38,122124,North Carolina,2015-01-31,1920,320,Renewed,2014-10-23,R,D,H,D,A,D,G,D,267.0,3.0,6.0,-100.0,2.0
40,122619,North Carolina,2015-01-31,2760,460,Renewed,2014-12-22,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,6.0,-40.0,3.0
41,122652,North Carolina,2015-01-31,4650,775,Renewed,2014-10-27,T,D,H,D,C,D,G,D,571.0,4.0,6.0,-96.0,2.0
43,122193,North Carolina,2015-01-31,2400,400,Renewed,2014-11-20,R,D,H,D,A,D,G,D,369.0,3.0,6.0,-72.0,3.0
45,122625,North Carolina,2015-01-31,2880,480,Renewed,2014-09-15,T,D,H,D,C,D,G,D,429.0,4.0,6.0,-138.0,2.0
46,122790,North Carolina,2015-01-31,5700,950,Renewed,2015-03-24,R,D,H,D,A,D,G,D,713.0,3.0,6.0,52.0,6.0
48,122961,North Carolina,2015-01-31,4620,770,Renewed,2014-12-15,T,D,H,D,A,D,G,D,619.0,3.0,6.0,-47.0,3.0
49,122967,North Carolina,2015-01-31,4800,800,Renewed,2014-10-28,T,D,H,D,A,D,G,D,599.0,3.0,6.0,-95.0,2.0
50,123297,North Carolina,2015-01-31,2310,385,Renewed,2014-10-27,R,D,H,D,B,D,G,D,348.0,4.0,6.0,-96.0,2.0
51,123318,North Carolina,2015-01-31,4800,800,Renewed,2014-11-25,T,D,H,D,B,D,G,D,923.0,4.0,6.0,-67.0,3.0
52,123615,North Carolina,2015-01-31,1800,300,Renewed,2015-01-09,U,H,H,C,B,B,G,E,454.0,1.0,6.0,-22.0,4.0
53,122817,North Carolina,2015-01-31,1560,260,Renewed,2015-01-12,R,D,H,D,A,D,G,D,217.0,3.0,6.0,-19.0,4.0
54,122931,North Carolina,2015-01-31,2400,400,Renewed,2014-11-20,R,D,H,D,B,D,G,D,288.0,4.0,6.0,-72.0,3.0
55,122964,North Carolina,2015-01-31,3660,610,Renewed,2015-01-20,T,D,H,D,A,D,G,D,494.0,3.0,6.0,-11.0,4.0
