School ID,Metro Code,Apple Mac Code,PC Code,Poverty Level Code,Avg Household Income ,Title 1 Code,Software budget per head,Training Budget Per head,Lunch Program Eligible Students,Affluence Indicator
135,S,G,F,A,Q,A,C,A,27,5
3666,R,F,F,C,G,B,G,D,116,2
4599,R,K,G,C,J,B,E,B,232,2
7938,U,D,G,B,Q,A,E,D,97,3
11142,S,H,H,D,K,C,D,A,577,5
11613,S,F,F,C,N,B,E,D,372,4
18036,T,A,F,B,L,B,E,C,242,2
20862,S,B,F,B,M,A,C,A,201,4
20865,S,B,F,B,M,A,C,A,115,4
21075,S,B,F,B,O,A,C,A,119,5
21207,S,C,F,B,N,A,Z,Z,185,4
21411,S,D,H,B,Q,A,G,C,211,5
21471,S,E,E,B,P,A,C,A,51,5
21690,U,H,H,D,N,D,H,H,518,5
21717,U,H,H,D,M,D,H,H,250,5
21810,S,E,E,B,L,B,H,G,61,4
21816,S,E,E,B,L,B,H,G,291,4
21870,T,K,E,B,N,B,Z,Z,144,5
21993,T,C,E,C,J,C,H,G,83,5
21999,T,C,E,C,J,C,H,G,280,5
22008,T,C,E,C,J,C,H,G,131,5
22017,T,C,E,C,J,C,H,G,296,5
22029,T,C,E,C,J,C,H,G,171,5
22098,R,F,A,B,L,B,Z,Z,58,4
22227,S,D,G,C,H,D,B,A,508,5
22239,S,D,G,C,H,D,B,A,871,5
22290,S,F,E,C,I,C,C,A,304,2
22428,S,E,E,C,O,C,D,B,103,5
22626,R,G,F,B,O,A,B,A,41,5
22650,R,A,F,B,O,B,F,C,114,5
22698,R,NULL,NULL,NULL,L,NULL,NULL,NULL,0,3
22842,S,A,G,B,M,B,F,C,191,3
22851,S,A,G,B,M,B,F,C,155,3
22908,S,NULL,NULL,NULL,I,NULL,NULL,NULL,0,3
22914,S,NULL,NULL,NULL,I,NULL,NULL,NULL,0,3
22962,S,K,F,B,O,A,G,D,30,4
22986,S,NULL,NULL,NULL,N,NULL,NULL,NULL,0,5
23403,S,C,G,A,Q,A,C,A,48,4
24003,S,NULL,NULL,NULL,C,NULL,NULL,NULL,0,1
24120,S,NULL,NULL,NULL,P,NULL,NULL,NULL,0,5
24336,S,E,F,B,Q,A,B,Z,48,5
24684,S,E,F,B,O,B,C,A,77,4
24711,R,F,E,A,Q,A,Z,Z,13,5
24870,S,F,E,A,Q,A,Z,Z,17,5
24957,S,D,G,B,M,B,C,A,323,4
25098,S,A,G,B,P,A,C,A,82,4
25419,S,C,F,A,Q,A,F,C,25,5
25452,S,F,C,A,Q,A,C,A,40,3
25455,S,F,C,A,Q,A,C,A,30,3
25461,S,F,C,A,Q,A,C,A,25,3
25638,S,K,F,A,Q,A,H,A,0,5
26010,U,H,I,C,J,D,G,H,512,5
27372,S,C,G,B,P,A,C,A,151,3
27570,U,NULL,NULL,NULL,F,NULL,NULL,NULL,0,2
27624,S,G,F,A,Q,A,C,A,43,5
28098,S,NULL,NULL,NULL,P,NULL,NULL,NULL,0,5
28392,U,G,G,B,N,B,B,A,115,5
28395,S,E,H,B,O,A,F,C,60,4
28548,U,G,G,B,P,B,B,A,67,5
28572,S,D,G,B,N,B,B,A,188,4
28584,S,D,G,B,N,B,B,A,259,4
28587,S,D,G,B,N,B,B,A,198,4
28590,S,D,G,B,N,B,B,A,234,4
28602,S,D,G,B,N,B,B,A,192,4
28605,S,D,G,B,N,B,B,A,147,4
28608,S,D,G,B,N,B,B,A,204,4
28617,S,G,E,B,P,A,B,A,76,5
28788,S,B,F,NULL,B,NULL,G,E,653,1
28836,S,E,C,B,O,A,C,A,100,2
28842,S,E,C,B,O,A,C,A,42,2
28848,S,E,C,B,O,A,C,A,51,2
28860,NULL,H,E,A,P,A,Z,Z,31,3
28890,S,G,F,D,C,D,G,H,221,2
28896,S,G,F,D,C,D,G,H,568,2
28899,S,G,F,D,C,D,G,H,222,2
28941,S,F,C,B,N,A,F,C,105,5
28944,S,F,C,B,N,A,F,C,133,5
28983,S,G,F,D,I,D,G,H,667,4
29085,S,F,E,B,P,A,Z,Z,117,4
29118,R,G,E,B,P,A,B,A,101,5
29127,S,F,F,B,O,A,F,C,84,4
29136,S,F,F,B,O,A,F,C,109,4
29205,S,H,F,C,J,C,C,A,319,4
29265,S,NULL,NULL,NULL,Q,NULL,NULL,NULL,0,5
29289,R,D,F,B,O,B,C,A,94,5
29469,S,F,C,C,M,C,F,C,363,5
29676,S,D,E,D,B,D,C,A,467,4
29682,S,D,E,D,B,D,C,A,526,4
29691,S,D,E,D,B,D,C,A,377,4
29706,S,G,D,B,O,A,C,A,339,2
29727,S,NULL,NULL,NULL,O,NULL,NULL,NULL,0,4
29886,U,NULL,NULL,NULL,N,NULL,NULL,NULL,0,3
29994,S,D,F,B,M,B,C,A,58,5
29997,S,D,F,B,M,B,C,A,150,5
30000,S,D,F,B,M,B,C,A,329,5
30342,U,NULL,NULL,NULL,B,NULL,NULL,NULL,0,1
30450,S,G,G,C,L,B,H,H,287,3
30459,S,G,G,C,L,B,H,H,236,3
30633,S,G,G,C,L,B,H,H,135,2
30663,S,G,G,C,Q,B,H,H,38,5
30786,R,B,E,B,P,A,Z,Z,141,5
30984,R,E,D,NULL,P,NULL,Z,Z,49,5
31239,U,H,E,C,J,C,Z,Z,331,3
31371,S,F,E,B,P,B,Z,Z,89,4
31374,S,F,E,B,P,B,Z,Z,97,4
31446,R,D,G,A,Z,NULL,Z,Z,3,3
31452,R,B,F,B,N,B,Z,Z,49,5
31476,R,B,F,B,N,B,Z,Z,105,4
31551,R,E,G,B,O,B,Z,Z,87,5
31653,R,E,F,B,M,B,Z,Z,75,5
31653,R,E,F,B,M,B,Z,Z,94,5
31734,R,D,G,B,H,C,Z,Z,171,2
31743,R,B,F,B,N,B,Z,Z,19,2
31773,NULL,E,G,B,M,C,Z,Z,109,5
31827,R,D,G,B,J,C,Z,Z,41,5
31839,R,B,F,B,O,B,Z,Z,67,4
31902,T,B,F,B,N,B,Z,Z,89,2
31917,T,B,F,B,N,B,Z,Z,28,2
32088,R,E,F,B,L,B,Z,Z,112,4
32166,NULL,D,F,B,J,B,Z,Z,226,2
32193,T,K,F,C,G,D,Z,Z,170,3
32331,T,F,D,B,J,B,Z,Z,29,3
32364,R,D,E,B,M,B,Z,Z,88,4
32430,T,F,C,B,P,B,Z,Z,13,5
32724,S,D,F,B,L,B,Z,Z,103,4
32787,S,E,D,B,N,C,Z,Z,128,5
33777,R,F,F,C,G,C,B,A,200,3
34170,R,G,E,B,L,C,Z,Z,92,5
34248,U,F,E,NULL,G,B,G,D,177,1
34422,R,D,B,B,M,B,H,G,74,5
34635,S,F,E,B,E,A,G,D,41,2
34644,R,E,E,B,N,B,Z,Z,115,5
34707,T,F,E,C,G,C,H,G,135,2
34710,T,F,E,C,G,C,H,G,178,2
34908,T,E,F,C,D,C,Z,Z,187,2
35106,R,B,E,C,E,C,H,G,90,2
35109,R,B,E,C,E,C,H,G,243,2
35112,R,F,F,C,E,C,C,A,107,2
35124,R,F,F,C,E,C,C,A,170,2
35169,R,K,E,C,C,D,F,C,41,4
35181,R,E,F,C,C,C,G,C,161,1
35280,R,E,E,B,E,A,Z,Z,59,1
35319,R,F,E,C,A,D,H,G,54,3
35379,R,F,K,C,L,B,Z,Z,63,3
35418,R,F,K,C,L,B,Z,Z,62,5
36501,R,E,E,B,K,NULL,Z,Z,41,5
36894,T,C,F,C,M,C,Z,Z,116,5
37533,R,E,E,C,J,D,Z,Z,160,5
37650,R,C,G,D,F,D,Z,Z,89,4
37962,S,F,E,A,Q,A,G,C,36,4
37965,S,F,E,A,Q,A,G,C,38,4
37968,S,F,E,A,Q,A,G,C,54,4
37974,S,F,E,A,Q,A,G,C,26,4
38235,S,D,G,B,M,B,C,A,180,3
38253,S,E,D,B,O,A,E,A,87,3
38499,S,F,G,B,P,B,C,A,278,5
38508,S,F,G,B,P,B,C,A,156,5
38511,S,F,G,B,P,B,C,A,100,5
38778,U,H,H,D,C,D,H,H,181,3
39456,R,C,D,B,O,B,H,F,40,5
39513,S,A,H,B,O,A,C,A,77,5
39567,S,A,H,B,O,A,C,A,74,5
39948,S,F,F,C,K,C,B,A,494,4
39954,S,F,F,C,K,C,B,A,551,4
39969,S,F,F,C,K,C,B,A,415,4
39987,S,F,F,C,K,C,B,A,229,4
39996,NULL,F,F,C,J,C,B,A,440,4
39999,NULL,F,F,C,J,C,B,A,543,4
40002,NULL,F,F,C,J,C,B,A,346,4
40107,U,H,F,B,O,A,C,A,59,4
40194,S,NULL,NULL,NULL,Q,NULL,NULL,NULL,0,5
40272,S,C,E,A,Q,A,G,C,31,4
40281,S,C,E,A,Q,A,G,C,19,4
40284,S,C,E,A,Q,A,G,C,26,4
40332,S,E,D,A,Q,A,F,C,32,4
40599,U,G,H,D,D,D,G,H,182,2
40899,U,G,H,D,A,D,G,H,407,1
41601,S,NULL,NULL,NULL,Q,NULL,NULL,NULL,0,5
41706,S,E,F,A,Q,A,C,A,65,4
42003,R,K,E,A,Q,A,H,G,25,4
42381,S,K,F,A,Q,A,F,C,10,5
42501,S,NULL,NULL,NULL,Q,NULL,NULL,NULL,0,5
43044,NULL,G,G,B,Q,A,C,A,58,5
43383,S,F,K,A,Q,A,F,C,6,5
45081,S,C,E,B,N,B,F,C,259,4
45318,S,D,F,A,P,A,C,A,15,5
45339,S,D,F,A,O,A,C,A,15,5
