School ID,State,Subscription End Date,Expiring Dollars,Expiring Students,Subscription Status,Renewal Date
22626,Massachusetts,1/31/2015,1440,240,Not Renewed,
34635,Maine,1/31/2015,1440,240,Renewed,12/22/2014
45081,New Jersey,1/31/2015,3420,570,Renewed,9/25/2014
62451,New York,1/31/2015,1440,240,Renewed,8/19/2014
31239,New Hampshire,1/31/2015,2010,335,Renewed,11/16/2012
49248,New Jersey,1/31/2015,1440,240,Renewed,11/18/2014
54282,New York,1/31/2015,1440,240,Renewed,2/5/2015
22908,Massachusetts,1/31/2015,1440,240,Renewed,11/3/2014
37650,Vermont,1/31/2015,1440,240,Renewed,11/19/2014
71346,New York,1/31/2015,1590,265,Not Renewed,
71985,Pennsylvania,1/31/2015,2850,475,Renewed,12/8/2014
74343,Pennsylvania,1/31/2015,1440,240,Renewed,1/16/2015
75771,Pennsylvania,1/31/2015,1440,240,Renewed,1/29/2015
77229,Pennsylvania,1/31/2015,1440,240,Not Renewed,
76242,Pennsylvania,1/31/2015,1440,240,Renewed,1/13/2015
76425,Pennsylvania,1/31/2015,1440,240,Renewed,11/11/2014
77238,Pennsylvania,1/31/2015,1440,240,Renewed,11/24/2014
97563,Virginia,1/31/2015,1740,290,Renewed,1/20/2015
100296,West Virginia,1/31/2015,1440,240,Renewed,1/13/2015
100308,West Virginia,1/31/2015,1692,282,Renewed,1/13/2015
100338,West Virginia,1/31/2015,1692,282,Renewed,1/13/2015
101856,West Virginia,1/31/2015,1692,282,Renewed,1/13/2015
100302,West Virginia,1/31/2015,1440,240,Renewed,1/13/2015
100335,West Virginia,1/31/2015,1692,282,Renewed,1/13/2015
100203,West Virginia,1/31/2015,1746,291,Renewed,1/13/2015
101766,West Virginia,1/31/2015,1692,282,Renewed,1/13/2015
101874,West Virginia,1/31/2015,1692,282,Renewed,1/13/2015
110595,North Carolina,1/31/2015,1500,250,Not Renewed,
110748,North Carolina,1/31/2015,2250,375,Renewed,9/19/2014
110772,North Carolina,1/31/2015,1440,240,Renewed,10/21/2014
111804,North Carolina,1/31/2015,3600,600,Renewed,10/28/2014
113211,North Carolina,1/31/2015,1440,240,Renewed,10/29/2014
110709,North Carolina,1/31/2015,3750,625,Renewed,3/6/2015
110553,North Carolina,1/31/2015,5340,890,Renewed,3/18/2015
113763,North Carolina,1/31/2015,6300,1050,Renewed,9/30/2014
114450,North Carolina,1/31/2015,5100,850,Renewed,1/13/2015
110721,North Carolina,1/31/2015,2400,400,Renewed,1/28/2015
