,Affluence_Indicator,Apple_Mac_Code,Avg_Household_Income,Avg_Sell_price,Days_group,Expiring_Dollars,Expiring_Students,ID,Lunch_Program_Eligible_Students,Metro_Code,PC_Code,Poverty_Level_Code,Renew_delay,Renewal_Date,Software_budget_per_head,State,Subscription_End_Date,Subscription_Status,Title_1_Code,Training_Budget_Per_head
0,4.0,C,F,7.0,4.0,1680,240,37650,89.0,R,G,D,-7.0,2017-01-24 00:00:00,Z,Vermont,2017-01-31,Renewed,D,Z
1,3.0,D,I,7.0,5.0,1680,240,49248,42.0,T,C,C,8.0,2017-02-08 00:00:00,G,New Jersey,2017-01-31,Renewed,C,D
2,5.0,J,N,7.0,4.0,1680,240,54282,244.0,U,J,C,-22.0,2017-01-09 00:00:00,G,New York,2017-01-31,Renewed,D,H
4,3.0,F,I,7.0,3.0,3150,450,110721,356.0,U,H,C,-55.0,2016-12-07 00:00:00,G,North Carolina,2017-01-31,Renewed,C,E
5,1.0,ZZ,D,7.0,3.0,1680,240,113211,0.0,U,ZZ,ZZ,-48.0,2016-12-14 00:00:00,ZZ,North Carolina,2017-01-31,Renewed,ZZ,ZZ
6,3.0,D,A,7.0,4.0,2100,300,122124,267.0,R,H,D,-1.0,2017-01-30 00:00:00,G,North Carolina,2017-01-31,Renewed,D,D
7,4.0,D,C,7.0,5.0,3710,530,122625,429.0,T,H,D,29.0,2017-03-01 00:00:00,G,North Carolina,2017-01-31,Renewed,D,D
8,4.0,D,C,7.0,3.0,5600,800,122715,530.0,T,H,D,-48.0,2016-12-14 00:00:00,G,North Carolina,2017-01-31,Renewed,D,D
9,4.0,D,C,7.0,3.0,3850,550,122778,437.0,T,H,D,-56.0,2016-12-06 00:00:00,G,North Carolina,2017-01-31,Renewed,D,D
10,3.0,D,A,7.0,5.0,4270,610,122964,494.0,T,H,D,17.0,2017-02-17 00:00:00,G,North Carolina,2017-01-31,Renewed,D,D
11,4.0,D,B,7.0,3.0,3500,500,123336,391.0,T,H,D,-53.0,2016-12-09 00:00:00,G,North Carolina,2017-01-31,Renewed,D,D
13,3.0,E,B,7.0,2.0,2905,415,166734,488.0,ZZ,I,D,-134.0,2016-09-19 00:00:00,G,Georgia,2017-01-31,Renewed,D,E
14,4.0,H,O,7.0,4.0,5250,750,188331,287.0,S,J,B,-1.0,2017-01-30 00:00:00,G,Florida,2017-01-31,Renewed,B,E
15,2.0,J,J,7.0,3.0,1820,260,190281,251.0,S,J,C,-40.0,2016-12-22 00:00:00,G,Florida,2017-01-31,Renewed,C,E
16,1.0,I,F,7.0,6.0,4900,700,191502,650.0,U,J,C,55.0,2017-03-27 00:00:00,G,Florida,2017-01-31,Renewed,B,E
18,1.0,D,G,7.0,3.0,2975,425,220389,279.0,R,F,C,-61.0,2016-12-01 00:00:00,G,Alabama,2017-01-31,Renewed,A,D
19,1.0,E,E,7.0,3.0,2590,370,227799,127.0,T,F,C,-46.0,2016-12-16 00:00:00,H,Alabama,2017-01-31,Renewed,B,E
20,1.0,G,J,7.0,4.0,4445,635,229365,487.0,T,H,B,-1.0,2017-01-30 00:00:00,G,Alabama,2017-01-31,Renewed,A,E
21,2.0,G,L,7.0,4.0,2205,315,229569,200.0,R,H,B,-1.0,2017-01-30 00:00:00,G,Alabama,2017-01-31,Renewed,A,E
22,2.0,G,L,7.0,4.0,5110,730,230529,286.0,S,H,B,-1.0,2017-01-30 00:00:00,G,Alabama,2017-01-31,Renewed,A,E
23,ZZ,ZZ,ZZ,7.0,11.0,1680,240,232554,ZZ,ZZ,ZZ,ZZ,-680.0,2015-03-23 00:00:00,ZZ,Alabama,2017-01-31,Renewed,ZZ,ZZ
24,3.0,B,A,7.0,11.0,1680,240,232752,243.0,R,G,D,-680.0,2015-03-23 00:00:00,E,Alabama,2017-01-31,Renewed,D,C
25,2.0,K,A,7.0,5.0,1680,240,236511,126.0,R,F,D,10.0,2017-02-10 00:00:00,F,Alabama,2017-01-31,Renewed,D,C
26,2.0,K,A,7.0,5.0,1680,240,236808,122.0,R,F,D,10.0,2017-02-10 00:00:00,F,Alabama,2017-01-31,Renewed,D,C
27,1.0,A,C,7.0,3.0,2065,295,241029,239.0,T,H,D,-42.0,2016-12-20 00:00:00,H,Alabama,2017-01-31,Renewed,C,E
28,1.0,F,C,7.0,3.0,1680,240,251463,252.0,U,H,C,-60.0,2016-12-02 00:00:00,G,Tennessee,2017-01-31,Renewed,B,D
29,1.0,F,E,7.0,4.0,2275,325,251556,246.0,U,H,C,-4.0,2017-01-27 00:00:00,G,Tennessee,2017-01-31,Renewed,B,D
30,1.0,ZZ,B,7.0,2.0,1680,240,266895,0.0,ZZ,ZZ,ZZ,-103.0,2016-10-20 00:00:00,ZZ,Mississippi,2017-01-31,Renewed,ZZ,ZZ
32,2.0,K,C,7.0,5.0,2100,300,267450,262.0,R,K,D,15.0,2017-02-15 00:00:00,Z,Mississippi,2017-01-31,Renewed,C,Z
33,1.0,C,I,7.0,4.0,1729,247,271305,239.0,R,H,B,-1.0,2017-01-30 00:00:00,G,Mississippi,2017-01-31,Renewed,A,D
34,2.0,D,Z,7.0,3.0,2450,350,274413,373.0,U,H,D,-49.0,2016-12-13 00:00:00,G,Mississippi,2017-01-31,Renewed,D,E
35,1.0,E,F,7.0,4.0,4340,620,279156,463.0,T,F,C,-13.0,2017-01-18 00:00:00,H,Mississippi,2017-01-31,Renewed,C,E
37,4.0,K,J,7.0,5.0,2100,300,281610,136.0,R,F,C,7.0,2017-02-07 00:00:00,E,Kentucky,2017-01-31,Renewed,B,C
38,2.0,ZZ,Z,7.0,3.0,1680,240,286944,0.0,T,ZZ,ZZ,-48.0,2016-12-14 00:00:00,ZZ,Kentucky,2017-01-31,Renewed,ZZ,ZZ
39,2.0,C,D,7.0,3.0,1750,250,293967,435.0,R,H,D,-56.0,2016-12-06 00:00:00,G,Kentucky,2017-01-31,Renewed,D,D
40,2.0,E,K,7.0,3.0,2030,290,301632,164.0,S,B,C,-46.0,2016-12-16 00:00:00,G,Ohio,2017-01-31,Renewed,B,C
41,1.0,E,I,7.0,3.0,2800,400,340392,270.0,T,E,C,-48.0,2016-12-14 00:00:00,E,Ohio,2017-01-31,Renewed,B,B
42,4.0,B,J,7.0,2.0,1750,250,367968,185.0,R,H,C,-95.0,2016-10-28 00:00:00,H,Indiana,2017-01-31,Renewed,B,C
44,4.0,ZZ,P,7.0,4.0,1750,250,393180,0.0,S,ZZ,ZZ,-20.0,2017-01-11 00:00:00,ZZ,Michigan,2017-01-31,Renewed,ZZ,ZZ
46,1.0,F,E,7.0,4.0,2100,300,421569,164.0,R,D,C,-8.0,2017-01-23 00:00:00,E,Michigan,2017-01-31,Renewed,B,B
47,5.0,F,O,7.0,3.0,1820,260,429276,66.0,R,C,B,-35.0,2016-12-27 00:00:00,E,Iowa,2017-01-31,Renewed,A,B
49,5.0,K,K,7.0,2.0,2240,320,467055,113.0,R,F,C,-104.0,2016-10-19 00:00:00,Z,Wisconsin,2017-01-31,Renewed,D,Z
50,3.0,ZZ,J,7.0,3.0,1680,240,472992,0.0,R,ZZ,ZZ,-83.0,2016-11-09 00:00:00,ZZ,Wisconsin,2017-01-31,Renewed,ZZ,ZZ
51,3.0,ZZ,Z,7.0,2.0,1680,240,490983,0.0,ZZ,ZZ,ZZ,-109.0,2016-10-14 00:00:00,ZZ,Minnesota,2017-01-31,Renewed,ZZ,ZZ
52,3.0,K,A,7.0,3.0,1680,240,502398,199.0,R,F,D,-78.0,2016-11-14 00:00:00,F,North Dakota,2017-01-31,Renewed,D,B
53,4.0,ZZ,P,7.0,2.0,1680,240,513378,0.0,U,ZZ,ZZ,-106.0,2016-10-17 00:00:00,ZZ,Illinois,2017-01-31,Renewed,ZZ,ZZ
54,5.0,G,I,7.0,3.0,2905,415,529746,613.0,S,H,C,-62.0,2016-11-30 00:00:00,E,Illinois,2017-01-31,Renewed,C,A
55,3.0,E,O,7.0,5.0,1680,240,531762,80.0,R,D,B,9.0,2017-02-09 00:00:00,Z,Illinois,2017-01-31,Renewed,B,Z
56,4.0,J,G,7.0,1.0,7700,1100,537858,1550.0,U,J,D,-242.0,2016-06-03 00:00:00,F,Illinois,2017-01-31,Renewed,D,B
57,4.0,ZZ,P,7.0,4.0,3500,500,541569,0.0,U,ZZ,ZZ,-1.0,2017-01-30 00:00:00,ZZ,Illinois,2017-01-31,Renewed,ZZ,ZZ
60,3.0,ZZ,L,7.0,2.0,1680,240,621171,0.0,R,ZZ,ZZ,-92.0,2016-10-31 00:00:00,ZZ,Louisiana,2017-01-31,Renewed,ZZ,ZZ
61,2.0,ZZ,H,7.0,2.0,1680,240,626040,0.0,T,ZZ,ZZ,-103.0,2016-10-20 00:00:00,ZZ,Louisiana,2017-01-31,Renewed,ZZ,ZZ
62,1.0,ZZ,G,7.0,2.0,1680,240,644043,0.0,ZZ,ZZ,ZZ,-99.0,2016-10-24 00:00:00,ZZ,Arkansas,2017-01-31,Renewed,ZZ,ZZ
